method_id,coffee_id,score,rationale
m_chemex,c_salvador_pacamara,4,"El método Chemex complementa las notas chocolate; melocotón; especias del café de El Salvador, aportando un perfil clarity_clean."
m_aeropress,c_salvador_pacamara,3,"El método AeroPress complementa las notas chocolate; melocotón; especias del café de El Salvador, aportando un perfil versatile."
m_french,c_salvador_pacamara,5,"El método French Press complementa las notas chocolate; melocotón; especias del café de El Salvador, aportando un perfil body."
m_moka,c_salvador_pacamara,5,"El método Moka Pot complementa las notas chocolate; melocotón; especias del café de El Salvador, aportando un perfil intensity."
m_coldbrew,c_salvador_pacamara,5,"El método Cold Brew complementa las notas chocolate; melocotón; especias del café de El Salvador, aportando un perfil sweetness."
m_siphon,c_salvador_pacamara,2,"El método Siphon complementa las notas chocolate; melocotón; especias del café de El Salvador, aportando un perfil tea_like."
m_clever,c_salvador_pacamara,2,"El método Clever Dripper complementa las notas chocolate; melocotón; especias del café de El Salvador, aportando un perfil balanced."
m_espresso,c_salvador_pacamara,4,"El método Espresso complementa las notas chocolate; melocotón; especias del café de El Salvador, aportando un perfil concentrated."
m_origami,c_salvador_pacamara,4,"El método Origami Dripper complementa las notas chocolate; melocotón; especias del café de El Salvador, aportando un perfil clarity_floral."
m_pulsar,c_salvador_pacamara,4,"El método NextLevel Pulsar complementa las notas chocolate; melocotón; especias del café de El Salvador, aportando un perfil high_clarity."
m_v60,c_costa_rica_tarrazzu,5,"El método V60 complementa las notas cítricos; miel; manzana verde del café de Costa Rica, aportando un perfil clarity_acidity."
m_kalita,c_costa_rica_tarrazzu,5,"El método Kalita Wave complementa las notas cítricos; miel; manzana verde del café de Costa Rica, aportando un perfil clarity_balance."
m_chemex,c_costa_rica_tarrazzu,5,"El método Chemex complementa las notas cítricos; miel; manzana verde del café de Costa Rica, aportando un perfil clarity_clean."
m_aeropress,c_costa_rica_tarrazzu,4,"El método AeroPress complementa las notas cítricos; miel; manzana verde del café de Costa Rica, aportando un perfil versatile."
m_french,c_costa_rica_tarrazzu,4,"El método French Press complementa las notas cítricos; miel; manzana verde del café de Costa Rica, aportando un perfil body."
m_moka,c_costa_rica_tarrazzu,4,"El método Moka Pot complementa las notas cítricos; miel; manzana verde del café de Costa Rica, aportando un perfil intensity."
m_coldbrew,c_costa_rica_tarrazzu,4,"El método Cold Brew complementa las notas cítricos; miel; manzana verde del café de Costa Rica, aportando un perfil sweetness."
m_siphon,c_costa_rica_tarrazzu,2,"El método Siphon complementa las notas cítricos; miel; manzana verde del café de Costa Rica, aportando un perfil tea_like."
m_clever,c_costa_rica_tarrazzu,2,"El método Clever Dripper complementa las notas cítricos; miel; manzana verde del café de Costa Rica, aportando un perfil balanced."
m_espresso,c_costa_rica_tarrazzu,4,"El método Espresso complementa las notas cítricos; miel; manzana verde del café de Costa Rica, aportando un perfil concentrated."
m_origami,c_costa_rica_tarrazzu,5,"El método Origami Dripper complementa las notas cítricos; miel; manzana verde del café de Costa Rica, aportando un perfil clarity_floral."
m_pulsar,c_costa_rica_tarrazzu,5,"El método NextLevel Pulsar complementa las notas cítricos; miel; manzana verde del café de Costa Rica, aportando un perfil high_clarity."
m_v60,c_java_anaerobic,5,"El método V60 complementa las notas maracuyá; vino; frutas tropicales del café de Colombia, aportando un perfil clarity_acidity."
m_kalita,c_java_anaerobic,5,"El método Kalita Wave complementa las notas maracuyá; vino; frutas tropicales del café de Colombia, aportando un perfil clarity_balance."
m_chemex,c_java_anaerobic,5,"El método Chemex complementa las notas maracuyá; vino; frutas tropicales del café de Colombia, aportando un perfil clarity_clean."
m_aeropress,c_java_anaerobic,4,"El método AeroPress complementa las notas maracuyá; vino; frutas tropicales del café de Colombia, aportando un perfil versatile."
m_french,c_java_anaerobic,4,"El método French Press complementa las notas maracuyá; vino; frutas tropicales del café de Colombia, aportando un perfil body."
m_moka,c_java_anaerobic,2,"El método Moka Pot complementa las notas maracuyá; vino; frutas tropicales del café de Colombia, aportando un perfil intensity."
m_coldbrew,c_java_anaerobic,3,"El método Cold Brew complementa las notas maracuyá; vino; frutas tropicales del café de Colombia, aportando un perfil sweetness."
m_siphon,c_java_anaerobic,4,"El método Siphon complementa las notas maracuyá; vino; frutas tropicales del café de Colombia, aportando un perfil tea_like."
m_clever,c_java_anaerobic,4,"El método Clever Dripper complementa las notas maracuyá; vino; frutas tropicales del café de Colombia, aportando un perfil balanced."
m_espresso,c_java_anaerobic,4,"El método Espresso complementa las notas maracuyá; vino; frutas tropicales del café de Colombia, aportando un perfil concentrated."
m_origami,c_java_anaerobic,5,"El método Origami Dripper complementa las notas maracuyá; vino; frutas tropicales del café de Colombia, aportando un perfil clarity_floral."
m_pulsar,c_java_anaerobic,5,"El método NextLevel Pulsar complementa las notas maracuyá; vino; frutas tropicales del café de Colombia, aportando un perfil high_clarity."
